Country;Dietary survey;Population Class;Level 1 FoodEx Name;Level 1 FoodEx Code;Number of consumers;Percentage of consumers;Mean consumption in grams/ kg body weight per day;Standard Deviation of consumption in grams/ kg body weight per day;Median consumption in grams/ kg body weight per day;99th percentile of consumption in grams/ kg body weight per day
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;grains and grain-based products;A.01.000001;166;100;2.49;1.27;2.31;6.47
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;vegetables and vegetable products;A.01.000317;161;97;2.14;1.41;1.83;6.65
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;nuts;A.01.000486;115;69.3;0.54;0.48;0.37;2.31
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;fruits and fruit products;A.01.000544;147;88.6;1.95;1.71;1.55;7.16
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;meat and meat products;A.01.000727;159;95.8;1.08;0.62;0.99;2.74
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;fish and other seafood;A.01.000876;123;74.1;0.66;0.39;0.58;2.05
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;milk and dairy products;A.01.000948;163;98.2;3.31;2.1;3.02;10.1
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;eggs and egg products;A.01.001252;83;50;0.28;0.21;0.22;1.17
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;sugar and confectionary;A.01.001267;116;69.9;0.28;0.25;0.2;1.02
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;non-alcoholic beverages;A.01.001470;156;94;8.97;6.13;7.97;23.93
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;alcoholic beverages;A.01.001534;84;50.6;4.53;5.25;2.77;29.8
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Elderly;snacks, desserts, and other foods;A.01.001877;89;53.6;0.38;0.31;0.32;1.69
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;grains and grain-based products;A.01.000001;139;100;2.53;1.17;2.43;5.78
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;vegetables and vegetable products;A.01.000317;133;95.7;1.76;1.05;1.65;4.36
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;nuts;A.01.000486;97;69.8;0.44;0.37;0.3;1.87
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;fruits and fruit products;A.01.000544;128;92.1;1.61;1.27;1.32;5.87
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;meat and meat products;A.01.000727;127;91.4;1.06;0.56;1.03;2.52
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;fish and other seafood;A.01.000876;100;71.9;0.67;0.38;0.6;1.64
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;milk and dairy products;A.01.000948;139;100;3.89;2.44;3.57;12.63
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;eggs and egg products;A.01.001252;58;41.7;0.29;0.19;0.24;0.9
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;sugar and confectionary;A.01.001267;107;77;0.31;0.36;0.21;1.8
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;non-alcoholic beverages;A.01.001470;133;95.7;9.42;5.68;8.94;24.43
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;alcoholic beverages;A.01.001534;63;45.3;3.25;3.7;1.85;18.27
United Kingdom;National Diet and Nutrition Survey - Years 1-3;Very elderly;snacks, desserts, and other foods;A.01.001877;74;53.2;0.71;0.85;0.49;6.24
